			;	Ale	;		;Aline	;		;	Ana	;Carlos	;		;Cris	;		;		;Delmo	;		;Edson	;Harlen	;		;		;Humb	;		;		;		;Irineu	;		;	JP	;		;		;		;		;	JR	;		;		;Juli	;		;		;		;Karla	;		;Luiz	;		;		;		;		;Marcio	;	MC	;		;Graça	;		;		;		;Mario	;Peter	;		;		;		;Ricard	;		;Wagner	;		;		;		;		;Yossi	;		;
Seg8h!SA	;	1	;	1	;	3	;	3	;	1	;	7	;	7	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	8	;	8	;	8	;	8	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	2	;	3	;	3	;	3	;	3	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;
			;	1	;	1	;	3	;	3	;	1	;	7	;	7	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	8	;	8	;	8	;	8	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	2	;	3	;	3	;	3	;	3	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;
			;	1	;	1	;	3	;	3	;	1	;	7	;	7	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	8	;	8	;	8	;	8	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	2	;	3	;	3	;	3	;	3	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;
!SB		    ;	1	;	1	;	1	;	1	;	1	;	7.5	;	7.5	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;
			;	1	;	1	;	1	;	1	;	1	;	7.5	;	7.5	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;
Seg10h!SA   ;	1	;	1	;	3	;	3	;	1	;	7	;	7	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	8	;	8	;	8	;	8	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;
			;	1	;	1	;	3	;	3	;	1	;	7	;	7	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	8	;	8	;	8	;	8	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;
			;	1	;	1	;	3	;	3	;	1	;	7	;	7	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	8	;	8	;	8	;	8	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;
!SB		    ;	1	;	1	;	1	;	1	;	1	;	7.5	;	7.5	;	1	;	1	;	1	;	1	;	1	;	1	;	2	;	2	;	2	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	2	;	2	;	2	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;
Seg19h!SA   ;	5	;	5	;	1	;	1	;	1	;	5	;	5	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	2.5	;	2.5	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	8	;	8	;	8	;	8	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	8	;	1	;	1	;	10	;	10	;	10	;	10	;	1	;	5	;	5	;	5	;	5	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;
			;	5	;	5	;	1	;	1	;	1	;	5	;	5	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	2.5	;	2.5	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	8	;	8	;	8	;	8	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	8	;	1	;	1	;	10	;	10	;	10	;	10	;	1	;	5	;	5	;	5	;	5	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;
			;	5	;	5	;	1	;	1	;	1	;	5	;	5	;	1	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	1	;	1	;	1	;	1	;	2.5	;	2.5	;	1	;	1	;	1	;	1	;	1	;	10	;	10	;	10	;	8	;	8	;	8	;	8	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	8	;	1	;	1	;	10	;	10	;	10	;	10	;	1	;	5	;	5	;	5	;	5	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;
!SB		    ;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;	1	;
